NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code ,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date ,Date Reported to CMS
00113,0567,02,L. PERRIGO COMPANY,Active,GOOD SENSE NITETIME DAYTIME COLD AND FLU,10,PART341,N,2,N,11/21/2013,11/21/2013,EA,1,NR,N,,11/21/2013,03/01/2015,,01/06/2025
00113,1411,82,L. PERRIGO COMPANY,Active,SMART HEALTH ASPIRIN REG 2X100TABS,09,PART343,N,2,N,10/01/1994,10/01/1994,TAB,1,NR,N,,10/01/1994,06/23/2016,,01/06/2025
00113,7280,02,L. PERRIGO COMPANY,Active,BASIC CARE DAYTIME NIGHTTIME COLD AND FLU,10,PART341,N,2,N,11/21/2013,11/21/2013,EA,1,NR,N,,11/21/2013,01/01/2023,,01/06/2025
00121,1550,40,PAI,Active,GUAIFENESIN CODEINE SYRUP,10,PART341,N,2,N,11/15/2006,11/15/2006,ML,10,NR,N,08/01/2017,08/01/2017,,,01/08/2025
00121,1775,40,PAI,Active,GUAIFENESIN CODEINE SYRUP,10,PART341,N,2,N,11/15/2006,11/15/2006,ML,5,NR,N,,11/15/2006,,,01/08/2025
00409,0147,01,"HOSPIRA, INC.",Active,LIDOCAINE+EPI 20/0.01MG/ML (EACH),01,0089646,N,1,N,09/30/1990,09/30/1990,ML,20,AP,Y,01/03/2025,01/03/2025,,,01/09/2025
00409,0147,10,"HOSPIRA, INC.",Active,LIDOCAINE+EPI 20/0.01MG/ML LSS10X20MLGVL,01,0089646,N,1,N,09/30/1990,09/30/1990,ML,200,AP,Y,01/03/2025,01/03/2025,,,01/09/2025
00480,3564,01,"Teva Pharmaceuticals, Inc.",Active,LISDEXAMFETAMINE DIMESILATE CAP 70MG 100,01,0202802,N,1,N,08/25/2023,12/19/2024,CAP,1,AB,N,,12/19/2024,,,01/10/2025
00480,3565,01,"Teva Pharmaceuticals, Inc.",Active,LISDEXAMFETAMINE DIMESILATE CAP 10MG 100,01,0202802,N,1,N,08/25/2023,12/19/2024,CAP,1,AB,N,,12/19/2024,,,01/10/2025
00480,3566,01,"Teva Pharmaceuticals, Inc.",Active,LISDEXAMFETAMINE DIMESILATE CAP 20MG 100,01,0202802,N,1,N,08/25/2023,12/19/2024,CAP,1,AB,N,,12/19/2024,,,01/10/2025
00480,3567,01,"Teva Pharmaceuticals, Inc.",Active,LISDEXAMFETAMINE DIMESILATE CAP 30MG 100,01,0202802,N,1,N,08/25/2023,12/19/2024,CAP,1,AB,N,,12/19/2024,,,01/10/2025
00480,3568,01,"Teva Pharmaceuticals, Inc.",Active,LISDEXAMFETAMINE DIMESILATE CAP 40MG 100,01,0202802,N,1,N,08/25/2023,12/19/2024,CAP,1,AB,N,,12/19/2024,,,01/10/2025
00480,3569,01,"Teva Pharmaceuticals, Inc.",Active,LISDEXAMFETAMINE DIMESILATE CAP 50MG 100,01,0202802,N,1,N,08/25/2023,12/19/2024,CAP,1,AB,N,,12/19/2024,,,01/10/2025
00480,3570,01,"Teva Pharmaceuticals, Inc.",Active,LISDEXAMFETAMINE DIMESILATE CAP 60MG 100,01,0202802,N,1,N,08/25/2023,12/19/2024,CAP,1,AB,N,,12/19/2024,,,01/10/2025
00487,0201,00,NEPHRON PHARMACEUTICALS CORPORATION,Active,Ipratropium Bromide 0.5mg Albuterol Sulfate 3.0mg,01,0076749,N,1,N,12/31/2007,01/01/2008,ML,3,AN,Y,01/01/2008,01/01/2008,,,01/08/2025
00487,9501,00,NEPHRON PHARMACEUTICALS CORPORATION,Active,ALBUTEROL SULFATE INHALATION SOLUTION 0.083%,01,0074880,N,1,N,09/17/1997,12/01/1997,ML,3,AN,Y,02/01/2002,02/01/2002,,,01/08/2025
00487,9801,00,NEPHRON PHARMACEUTICALS CORPORATION,Active,IPRATROPIUM BROMIDE INHALATION SOLUTION 0.02%,01,0075562,N,1,N,09/27/2001,09/27/2001,ML,2.5,AN,Y,02/01/2002,02/01/2002,,,01/08/2025
00904,7306,61,MAJOR PHARMACEUTICALS,Active,CARVEDILOL 6.25MG TABLETS UD ,01,0078251,N,1,N,09/05/2007,09/23/2024,TAB,100,AB,N,12/26/2024,12/26/2024,,,01/08/2025
00904,7307,61,MAJOR PHARMACEUTICALS,Active,CARVEDILOL 12.5MG TABLETS UD ,01,0078251,N,1,N,09/05/2007,09/13/2024,TAB,100,AB,N,12/03/2024,12/03/2024,,,01/08/2025
00904,7458,61,MAJOR PHARMACEUTICALS,Active,PANTOPRAZOLE SODIUM 20MG DR TABS UD,01,0202038,N,1,N,09/28/2012,10/07/2024,TAB,100,AB,N,12/03/2024,12/03/2024,,,01/08/2025
00904,7468,06,MAJOR PHARMACEUTICALS,Active,PROPRANOLOL 20MG TABLETS UD  ,01,0071972,N,1,N,09/30/1990,09/20/2024,TAB,50,AB,N,12/17/2024,12/17/2024,,,01/08/2025
00904,7468,61,MAJOR PHARMACEUTICALS,Active,PROPRANOLOL 20MG TABLETS UD  ,01,0071972,N,1,N,09/30/1990,09/20/2024,TAB,100,AB,N,12/17/2024,12/17/2024,,,01/08/2025
00904,7469,04,MAJOR PHARMACEUTICALS,Active,BUPROPION HCL XL 300MG TABS UD ,01,0090693,N,1,N,04/06/2017,10/07/2024,TAB,30,A3,N,12/26/2024,12/26/2024,,,01/08/2025
00904,7486,40,MAJOR PHARMACEUTICALS,Active,FEXOFENADINE HCL 180MG TAB ,01,0204507,N,2,N,09/16/2015,11/04/2024,TAB,500,NR,N,11/04/2024,11/04/2024,,,01/08/2025
39822,4500,01,"XGEN PHARMACEUTICALS DJB, INC.",Active,Edaravone Injection,01,0217565,N,1,N,10/31/2024,12/01/2024,ML,100,AP,Y,,12/01/2024,,,01/07/2025
51759,0412,22,"TEVA PHARMACEUTICALS USA, INC",Active,SIMLANDI 40MG/0.4ML 2 PFS KIT,02,0761299,S,1,N,02/23/2024,05/20/2024,EA,2,NR,Y,12/10/2024,12/10/2024,,,01/10/2025
